filename,mourning,administrative_neutral,trafficking_enforcement,monetary_valuation,dominant_category,total_hits
IOR_R_15_2_1050_0293_147r,0,1,1,0,administrative_neutral,2
IOR_R_15_2_1050_0295_148r,0,2,0,0,administrative_neutral,2
IOR_R_15_2_1293_0007_4r,0,2,0,0,administrative_neutral,2
IOR_R_15_2_1293_0021_11r,0,0,1,0,trafficking_enforcement,1
IOR_R_15_2_1293_0035_18r,0,1,1,0,administrative_neutral,2
IOR_R_15_2_1293_0041_21r,0,2,1,0,administrative_neutral,3
IOR_R_15_2_1293_0051_26r,0,1,0,0,administrative_neutral,1
IOR_R_15_2_1293_0107_54r,0,1,0,0,administrative_neutral,1
IOR_R_15_2_1293_0121_61r,0,1,0,0,administrative_neutral,1
IOR_R_15_2_1367_0003_2r,0,1,0,0,administrative_neutral,1
IOR_R_15_2_1367_0005_3r,0,1,5,0,trafficking_enforcement,6
IOR_R_15_2_1367_0007_4r,0,0,1,0,trafficking_enforcement,1
IOR_R_15_2_1367_0009_5r,0,1,2,0,trafficking_enforcement,3
IOR_R_15_2_1367_0011_6r,0,1,2,0,trafficking_enforcement,3
IOR_R_15_2_1367_0013_7r,0,1,3,0,trafficking_enforcement,4
IOR_R_15_2_1585_0015_8r,0,0,0,0,none,0
IOR_R_15_2_1585_0021_11r,0,0,0,0,none,0
IOR_R_15_2_1585_0043_22r,0,0,2,0,trafficking_enforcement,2
IOR_R_15_2_1585_0045_23r,0,1,1,0,administrative_neutral,2
IOR_R_15_2_1668_0007_4r,1,0,0,0,mourning,1
IOR_R_15_2_1668_0009_5r,0,0,0,0,none,0
IOR_R_15_2_1668_0019_10r,0,0,0,0,none,0
IOR_R_15_2_1668_0021_11r,2,1,0,0,mourning,3
IOR_R_15_2_1733_0003_1r,1,1,2,3,monetary_valuation,7
IOR_R_15_2_1733_0027_13r,1,1,1,2,monetary_valuation,5
IOR_R_15_2_1733_0029_14r,0,1,0,2,monetary_valuation,3
IOR_R_15_2_1733_0031_15r,0,0,1,2,monetary_valuation,3
IOR_R_15_2_1733_0033_16r,0,0,0,0,none,0
IOR_R_15_2_1733_0035_17r,0,0,1,2,monetary_valuation,3
IOR_R_15_2_1733_0039_19r,1,1,1,2,monetary_valuation,5
IOR_R_15_2_1733_0055_27r,0,1,0,0,administrative_neutral,1
IOR_R_15_2_1733_0077_38r,0,0,0,0,none,0
IOR_R_15_2_1733_0115_57r,0,0,0,0,none,0
IOR_R_15_2_1733_0117_58r,1,0,0,0,mourning,1
IOR_R_15_2_1733_0121_60r,0,2,0,0,administrative_neutral,2
IOR_R_15_2_1733_0123_61r,1,0,1,2,monetary_valuation,4
IOR_R_15_2_1733_0131_65r,0,0,0,0,none,0
IOR_R_15_2_56_0060_23r,2,0,0,0,mourning,2
IOR_R_15_2_56_0062_24r,5,0,0,2,mourning,7
IOR_R_15_5_19_0015_8r,0,1,0,0,administrative_neutral,1
IOR_R_15_5_19_0017_9r,0,1,0,0,administrative_neutral,1
IOR_R_15_5_19_0061_31r,0,0,0,0,none,0
IOR_R_15_5_19_0063_32r,0,0,0,0,none,0
IOR_R_15_5_19_0075_38r,0,0,0,0,none,0
IOR_R_15_5_19_0119_60r,1,0,0,0,mourning,1
IOR_R_15_5_19_0121_61r,0,0,0,0,none,0
