term,filename,snippet
slave,IOR_R_15_1_212_0092_43r,"girl. --------------------- Statement made by Sharifah bint Bilal, slave of Ahmad Bin Lutah, aged about 25 years."
slave,IOR_R_15_1_212_0092_43r,"and understood its contents. With regard to the slave Ghazul who was taken away by al Lutah,"
slave,IOR_R_15_1_212_0092_43r,"I beg to state that after kidnapping the slave, the offenders took refuge with Bani Qitab. I"
slave,IOR_R_15_1_212_0092_43r,great difficulties I was able to release the slave from the
slave,IOR_R_15_1_212_0094_44r,to Ajman I went to _Anama and the slave came after my arrival and stayed at my
slave,IOR_R_15_1_212_0094_44r,I received your letter and handed over the slave yesterday to her mother. I have stated this
slave,IOR_R_15_1_212_0151_72v,is Zahrah bint Ghuloom. I was formerly the slave of Jum'ah bin Abdullah of Dubai. Last year
slave,IOR_R_15_1_212_0151_72v,aged 14 years named Nasir bin Bilal a slave of Amnah bint Sa'id wife of Abdullah bin
slave,IOR_R_15_1_212_0151_72v,not know where he had gone. But her slave Mabrook who is in her service at present
slave,IOR_R_15_1_212_0151_72v,"he did not go and instead Attoi, a slave woman of Amnah, went and called Rshid bin"
slave,IOR_R_15_1_212_0151_72v,"had some discussions with her which he, the slave Mabrook, did not hear. After a little time"
slave,IOR_R_15_1_212_0151_72v,little time later to her house alone. The slave Mabrook alleges that next morning he asked his
slave,IOR_R_15_1_212_0153_73v,bin Bilal aged 14 years who is a slave of Amnah bint Sa'id wife of Abdullah bin
slave,IOR_R_15_1_212_0153_73v,gone after his release. But that Mabrook the slave of Amnah had informed Zahrah bint Ghuloom that
slave,IOR_R_15_1_212_0153_73v,"he did not go and instead Attoi, a slave woman of Amnah, went and called Rashid bin"
slave,IOR_R_15_1_212_0153_73v,and had some discussions with her which the slave Mabrook did not hear. And that a little
slave,IOR_R_15_1_212_0153_73v,"her house a little time after, alone. The slave Mabrook alleges that in the morning he asked"
slave,IOR_R_15_1_212_0163_78v,"with her. She asked me to take her slave, Nasir, to Shaikh Sultan to imprison him until"
slave,IOR_R_15_1_212_0163_78v,Shaikh Sultan to imprison him until sunset. The slave remained in jail for about a week. Then
slave,IOR_R_15_1_212_0163_78v,"boy Nasir bin Bilal. We have recovered the slave of Amnah bint Sa'id, the above mentioned Nasir,"
slave,IOR_R_15_1_212_0173_83v,years ago he got me married to a slave woman named Halimah bint Ismail. Three months ago
slave,IOR_R_15_1_212_0175_84v,years ago he got me married to a slave woman named Zalaikha bint Mubarak. When I was
slave,IOR_R_15_1_212_0175_84v,"arrival to Abdullah bin Saifan of Jumairah, a slave dealer, who took me with some other slaves"
slave,IOR_R_15_1_212_0175_84v,people. My master got me married to a slave woman called Abaidah who gave birth to a
slave,IOR_R_15_1_212_0247_120v,"bin Hamad, together with the mistress of the slave, Alixa bint Isa bin Buti. She clearly admits"
slave,IOR_R_15_1_753_0095_48r,am directed to enclose copies of proclamation forbidding slave traffic issued by His Majesty's Government to which
slave,IOR_R_15_1_753_0231_113r,"Agent Shargah. AS. Jowhar bin Nasib, a liberated slave, the subject of the correspondence, ending with this"
slave,IOR_R_15_2_1367_0005_3r,State takes the property of a deceased freed slave only when one dies leaving no heirs or
slave,IOR_R_15_2_1367_0005_3r,Master (who freed him) inherits when the freed slave dies with- -out issue & intestate. III —
slave,IOR_R_15_2_1367_0005_3r,"intestate. III — The issue of a freed slave, being practically like free men, inherit to the"
slave,IOR_R_15_2_1367_0005_3r,"heirs of deceased Master. IV — [Brinish-manumitted free slave, without heirs & intestate comes under Order-in-Council as"
slave,IOR_R_15_2_1367_0007_4r,"a question regarding effects of a deceased freed slave Mabrook bin Hasan, when his [struck: former] master,"
slave,IOR_R_15_2_1367_0009_5r,"a Qatari claimed the property of an intestate slave, who left a wife. My predecessor referred the"
slave,IOR_R_15_2_1367_0013_7r,State takes the property of a deceased free slave only when one dies leaving no [struck: hie-]
slave,IOR_R_15_2_1367_0013_7r,The master(who freed him) inherits when the freed slave dies without issue and intestate. The issue of
slave,IOR_R_15_2_1367_0013_7r,"issue and intestate. The issue of a freed slave, being practically like free men, inherit to the"
property,IOR_R_15_1_208_0029_7r,diving. Maftul died and the slave became a property of his son Khalifah. The latter manumitted him
property,IOR_R_15_2_1293_0121_61r,Hospital and notes that the deceased left no property apart from his personal identity documents. His Britannic
property,IOR_R_15_2_1367_0005_3r,far as I know the State takes the property of a deceased freed slave only when one
property,IOR_R_15_2_1367_0005_3r,comes under Order-in-Council as a Protected Person & property vests in P.A. who may have given over
property,IOR_R_15_2_1367_0005_3r,P.A. who may have given over some such property to Qazis for charitable purposes tho. it would
property,IOR_R_15_2_1367_0007_4r,"of the deceased was living, 1/4 of the property would go to her and the rest to"
property,IOR_R_15_2_1367_0009_5r,"by my assistant, Sayyid Siddiq Hassan regarding the property of intestate freed slaves. 2. I made enquiries"
property,IOR_R_15_2_1367_0009_5r,"last year in which a Qatari claimed the property of an intestate slave, who left a wife."
property,IOR_R_15_2_1367_0011_6r,"case of freed slaves dying intestate that their property reverts to their previous owners, not to the"
property,IOR_R_15_2_1367_0011_6r,the Agency Court always accepted the view that property of ex-slaves dying intestate should revert to their
property,IOR_R_15_2_1367_0013_7r,far as I know the State takes the property of a deceased free slave only when one
property,IOR_R_15_2_1733_0115_57r,"1947. At about 7.0 A.M., they entered Company property by going through the 4-strand barbed wire fence"
wages,IOR_R_15_2_1733_0003_1r,his next-of-kin as Ahmed bin Haji (brother). Unclaimed wages amounting to Rs.15-14-0 are lying to his credit
wages,IOR_R_15_2_1733_0027_13r,of the deceased a sum (Rs.14-0-0) being unclaimed wages and we await your instructions regarding the disposal
wages,IOR_R_15_2_1733_0029_14r,that the sum of Rs.14/- representing the unclaimed wages of the late A. Rahim Ali Baz may
wages,IOR_R_15_2_1733_0039_19r,"may have regarding disposal of the deceased's unclaimed wages amounting to Rs.1-14-0. Yours very truly, [Handwritten signature]"
wages,IOR_R_15_2_1733_0123_61r,estate the sum of Rs. 22-12-0 for unclaimed wages and we shall appreciare your instructions regarding the
death,IOR_R_15_1_208_0029_7r,to his son Khalifah. Two years after the death of his father Khalifah invited a party of
death,IOR_R_15_1_208_0031_8r,"should molest me. Khalifah died and after his death his brother complained to Hamad bin Ibrahim, Chief"
death,IOR_R_15_1_212_0082_38r,"Sharjah on 11th July 1939. ------------------ After the death of my master, Ahmad bin Lutah, my three"
death,IOR_R_15_1_212_0245_119v,about 4 years ago but who before his death set me and my mother free but my
death,IOR_R_15_1_753_0093_47r,"68, dated 12th August 1900, re- porting the death of Sheikh Humeid bin Abdulla Chief of Ras-"
death,IOR_R_15_1_753_0237_116r,"has directed me to announce to you the death on the 22nd January 1901, of Her Most"
death,IOR_R_15_2_1293_0007_4r,"of Foreign Affairs, Economic Department, Consular Section, Bagdad. Death of a Bahreini subject named Alwiyah bint Shabib."
death,IOR_R_15_2_1293_0021_11r,the authorities concerned had sent to her the Death Certificate of the man called Mohammed Saleh al
death,IOR_R_15_2_1293_0035_18r,"the month of May 1949, together with 14 death and burial certificates. It should be noted that"
death,IOR_R_15_2_1293_0035_18r,Copy for information and necessary action together with death and burial certificate of Sadiqa bint Haj Muhammad
death,IOR_R_15_2_1293_0041_21r,"of June 1949, together with 8 copies of death and burial _sertificates_ issued in their names. The"
death,IOR_R_15_2_1293_0041_21r,"Copy for information and necessary action together with death _and_ burial certificate of Fatima Haj Ali, to:-"
death,IOR_R_15_2_1293_0051_26r,"of October 1949, together with 13 copies of death and burial certificates and Pilgrim Passes in respect"
death,IOR_R_15_2_1293_0107_54r,"11-20th June, 1950 on the subject of the death of a Bahreini woman named S'adiyah bint Sheber"
death,IOR_R_15_2_1293_0121_61r,"5/10 October, 1950 on the subject of the death from pneumonia of a Bahraini man named Haj"
death,IOR_R_15_2_1585_0015_8r,was hit by 10-ton truck and that his death was instantaneous. Remains were brought here in coffin
death,IOR_R_15_2_1585_0021_11r,June asking for fuller details regarding Father Gabriel's death. I write now to say what a very
death,IOR_R_15_2_1585_0021_11r,"all communities and creeds to hear of his death. He was universally respected, and I can safely"
death,IOR_R_15_2_1668_0007_4r,December 1932. For information. Deeply regret to announce death of Shaikh Isa of Bahrain. Addressed Bushire repeated
death,IOR_R_15_2_1668_0021_11r,T-107. Dated 9th December 1932. Regret to announce death of Shaikh Isa of Bahrain morning December 9th.
death,IOR_R_15_2_1733_0003_1r,1944 at 10.00 A.M. A copy of the Death Certificate is enclosed herewith. According to records available
death,IOR_R_15_2_1733_0003_1r,COMPANY LIMITED. Encls: 1 Cheque for Rs.15.14.0. 1 Death Certificate.
death,IOR_R_15_2_1733_0027_13r,"Dear Sir, [Typewritten] We regret to report the death of the above-employee this morning in the Mission"
death,IOR_R_15_2_1733_0027_13r,"the Mission Hospital, of Dysentery. A copy of Death Certificate will be sent when received from Doctor."
death,IOR_R_15_2_1733_0031_15r,THE BAHRAIN PETROLEUM COMPANY LIMITED. Encl: copy of death certificate.
death,IOR_R_15_2_1733_0035_17r,"BAHRAIN PETROLEUM COMPANY LIMITED. WPA:ASM. Encl: copy of death certificate. cc.17876's File. "" The Indian Assistant to"
death,IOR_R_15_2_1733_0039_19r,"(deceased). Dear Sir, We regret to report the death of the above-named, a native of Qatar who"
death,IOR_R_15_2_1733_0039_19r,of Tuberculosis and Dysentery. A copy of the Death Certificate is enclosed herewith. We await any instructions
death,IOR_R_15_2_1733_0077_38r,Muharram Ceremonies. As there is a question of Death Benefit involved\nwe should like to have your confirmation
death,IOR_R_15_2_1733_0115_57r,"at the Refinery Pitch-pond, which resulted in the death of Hassan bin Abdulla of Sitra. From information"
death,IOR_R_15_2_1733_0123_61r,regret to have to inform you of the death of the above-named in the American Mission Hospital
death,IOR_R_15_2_1733_0123_61r,"lorry. A copy of the Doctor's Certificate of Death is attached. According to our records, deceased was"
death,IOR_R_15_2_56_0060_23r,"evening of the 13th instant of the sad death of Mr J.G. Lorimer, C.I.E.,I.O.S. Officiating Political Resident"
death,IOR_R_15_5_19_0063_32r,on receipt of the news of Shaikh Jabirs death I sent for Mullah Salih and ascertained that
death,IOR_R_15_5_19_0075_38r,sent for on receipt of news of the death of Shaikh Jabir. There was only a very
death,IOR_R_15_5_19_0075_38r,policy. He volunteered that when notifying Shaikh Jabir's death he will not address Bin Rashid and he
death,IOR_R_15_5_19_0119_60r,among tribal elements; it was expected that on death of Mubarak he might make a bid for
beg,IOR_R_15_1_208_0029_7r,No. 88 Dated 26th March 1925. A.C. I beg to state that a slave of Suwahil named
beg,IOR_R_15_1_208_0031_8r,taking refuge with the High British Government and beg them to be kind enough to favour me
beg,IOR_R_15_1_212_0028_11r,and beg to be released from slavery. Thumb impression of
beg,IOR_R_15_1_212_0028_11r,to take refuge at the Government House and beg to be released from slavery. Thumb impression of
beg,IOR_R_15_1_212_0028_11r,to take refuge at the Government House and beg to be released from slavery. Thumb impression of
beg,IOR_R_15_1_212_0030_12r,to take refuge at the Government House and beg to be released from slavery. Thumb impression of
beg,IOR_R_15_1_212_0030_12r,to take refuge at the Government House and beg to be released from slavery. Thumb impression of
beg,IOR_R_15_1_212_0048_21r,order to take refuge at the Agency and beg to be released from slavery. <center>L.T.I.of Mubarak bin
beg,IOR_R_15_1_212_0048_21r,order to take refuge at the Agency and beg to be released from slavery. <center>L.T.I.of Sallum bin
beg,IOR_R_15_1_212_0070_32r,"to the Political Agent, Bahrain. ------------------- A.C. I beg to state that on the evening of 6th"
beg,IOR_R_15_1_212_0074_34r,"letter No. 372, dated 10th June 1939, I beg to state that the Ruler of Debai released"
beg,IOR_R_15_1_212_0082_38r,"to the Political Agent, Bahrain. ------------------ A.C. I beg to forward herewith copy of the statement dated"
beg,IOR_R_15_1_212_0082_38r,returned to our house. I have now to beg you to [struck: xxxxx] arrange for the release
beg,IOR_R_15_1_212_0090_42r,"your letter No.173, dated 25th July 1939, I beg to forward herewith: 1. Copy of the statement"
beg,IOR_R_15_1_212_0090_42r,he wants from me I have come to beg you to make some arrangements for her release.
beg,IOR_R_15_1_212_0092_43r,"who was taken away by al Lutah, I beg to state that after kidnapping the slave, the"
beg,IOR_R_15_1_212_0111_52v,"to the Political Agent, Bahrain. ----------------------- A.C. I beg to forward herewith copies of seven statements made"
beg,IOR_R_15_1_212_0111_52v,to take refuge at the Government House and beg to be released from slavery. T.I. of Salim
beg,IOR_R_15_1_212_0143_68v,"to the Political Agent, Bahrain. ----------------- A.C. I beg to forward herewith copies of statements made by"
beg,IOR_R_15_1_212_0143_68v,to take refuge at the Government House and beg to be freed from slavery. L.T.I. of Firoz
beg,IOR_R_15_1_212_0155_74v,"letter No. 274, dated 26th April 1940, I beg to forward herewith copies of the undermentioned correspondence:-"
beg,IOR_R_15_1_212_0155_74v,"letter No. 273 dated 26th April 1940, I beg to state that I have not yet received"
beg,IOR_R_15_1_212_0173_83v,--- 2. beg to be released from slavery. L.T.I. of Bilal
beg,IOR_R_15_1_212_0173_83v,to take refuge at the Government House and beg to be released from slavery. L.T.I. of Thani
beg,IOR_R_15_1_212_0173_83v,to take refuge at the Government House and beg to be released from slavery. L.T.I. of Bilal
beg,IOR_R_15_1_212_0175_84v,take refuge at the Govern- ment House and beg to be released from slavery. L.T.I. of Sa'id
beg,IOR_R_15_1_212_0175_84v,to take refuge at the Government House and beg to be released from slavery. L.T.I. of Almas
beg,IOR_R_15_1_212_0201_97v,"Sharjah, to the Political Agent, Bahrain. A.C. I beg to forward herewith a copy of four statements"
beg,IOR_R_15_1_212_0201_97v,to take refuge at the Government House and beg to be released from slavery. L.T.I. of Faraj
beg,IOR_R_15_1_212_0247_120v,your remarks about the case of Anbar I beg to state that as soon as the matter
beg,IOR_R_15_1_212_0311_152v,to take refuge at the Government House and beg to be released from slavery. L.T.I.of Alya bint
beg,IOR_R_15_1_212_0311_152v,to take refuge at the Government House and beg to be released from slavery. L.T.I.of Jumah bin
beg,IOR_R_15_2_1733_0131_65r,"to the Political Agent, Bahrain. After Compliments, I beg to inform Your Honour in connection with my"
beg,IOR_R_15_5_19_0017_9r,"travel- -ling with two Turkish officers, named Rifaat Beg and Ashraf Beg and 40 people escorting _T40,000"
beg,IOR_R_15_5_19_0017_9r,"two Turkish officers, named Rifaat Beg and Ashraf Beg and 40 people escorting _T40,000 for payment of"
sold,IOR_R_15_1_208_0029_7r,years old a man of Suwahil kidnapped and sold me to a man of Khazrah of Batinah
sold,IOR_R_15_1_208_0029_7r,remained with him for 3 years then he sold me to a man of Umm-ul-Qaiwain named Maftul.
sold,IOR_R_15_1_212_0028_11r,and brought me to Debai where I was sold to Hilal bin Thaher of Debai. My master
sold,IOR_R_15_1_212_0028_11r,and brought me to Debai where I was sold to Muhamad bin Ahmad Dalmuk of Debai. I
sold,IOR_R_15_1_212_0030_12r,"<span style=""font-family: monospace;""> 3. sold to Salim bin Nasib of Suwaiq. I stayed"
sold,IOR_R_15_1_212_0030_12r,who took me to Umm ul Qaiwain and sold me to Abdul Aziz bin Ibrahim of Umm
sold,IOR_R_15_1_212_0048_21r,my master Awadh bin Rais of Dhofar who sold me when I was young to Sayid Muhamad
sold,IOR_R_15_1_212_0048_21r,years brought me to Debai where I was sold to Khalifah bin Rashid of Debai. My master
sold,IOR_R_15_1_212_0048_21r,young and brought to Debai where I was sold to Abdur Rahman bin Jumah of Debai who
sold,IOR_R_15_1_212_0070_32r,bin Maktum that his brother Reza Lari has sold Maryam bint Mabrook who was serving him in
sold,IOR_R_15_1_212_0070_32r,taken to the Shaikh but he denied having sold Maryam and stated that he did not know
sold,IOR_R_15_1_212_0070_32r,about to die he admitted that he had sold Maryam through one Abdul Karim of Anazah tribe
sold,IOR_R_15_1_212_0076_35r,"this case:- One Reza Habib Mari, Iranian subject, sold one Maryam daughter of Mabrook, a manumitted slave,"
sold,IOR_R_15_1_212_0092_43r,at Braimi. I found that they had already sold the girl for Rs.475/- out of which amount
sold,IOR_R_15_1_212_0111_52v,we were taken to Braimi where we were sold to a certain Sultan bin Hilal. After two
sold,IOR_R_15_1_212_0111_52v,handed us over to his servant Miftah who sold us to Khamis al Adl al Jumairi. My
sold,IOR_R_15_1_212_0111_52v,[illegible]] sister and her 3 children might be sold at Oman my mother complained to the Shaikh
sold,IOR_R_15_1_212_0143_68v,"my master's wife, took me to Henjam and sold me to Khalifah bin Humaid of Henjam. After"
sold,IOR_R_15_1_212_0143_68v,"which he died. His widow, Amnah bint Said, sold me to Jumah bin Abdullah of Shandagha and"
sold,IOR_R_15_1_212_0155_74v,the Bedouins brought him to Abu Dhabi and sold him to the said Shaikhs. Madbes comes every
sold,IOR_R_15_1_212_0157_75v,the Bedouins took him to Abu Dhabi and sold him to the Shaikhs. I request you kindly
sold,IOR_R_15_1_212_0163_78v,Hafit and then to Baraimi where he was sold to Ibn 'Abbood who sold him to Shaikh
sold,IOR_R_15_1_212_0163_78v,where he was sold to Ibn 'Abbood who sold him to Shaikh Azz'a bin Sultan. Salim admits
sold,IOR_R_15_1_212_0175_84v,young. I was taken to Batinah where I sold after 4 days of my arrival to Abdullah
sold,IOR_R_15_1_212_0175_84v,some other slaves to Jumairah where I was sold to Ali bin Saif of that place. When
sold,IOR_R_15_1_212_0175_84v,as a diver for six years. He then sold his boats and sent me to the [struck:
sold,IOR_R_15_1_212_0201_97v,and brought me to Dubai where I was sold to Muhamad bin Khalfan of Dubai who used
sold,IOR_R_15_1_212_0201_97v,and brought me to Dubai where I was sold to Khamis bin Buti of Dubai. My master
sold,IOR_R_15_1_212_0245_119v,"report that her brother 'Anbar bin Mubarak was sold at Ras al Khaimah by Khalifah bin Abdulla,"
sold,IOR_R_15_1_212_0247_120v,needy woman and in debt to others I sold him to a bedouin known as Assaman for
sold,IOR_R_15_1_212_0247_120v,bought Anbar three years ago and that she sold him about three months ago to a bedouin
sold,IOR_R_15_1_212_0311_152v,"know to Umm ul Qaiwain where I was sold to Shaikh Ahmad bin Rashid, Ruler of Umm"
sold,IOR_R_15_2_56_0062_24r,"Steam Navigation Company's shares and that they have sold about Rs.50,000/- worth of shares to Shaikh Isa"
born,IOR_R_15_1_208_0029_7r,"support of his freedom as he is originally born in Africa. Statement made by Almas of Suwahil,"
born,IOR_R_15_1_212_0028_11r,"Yaruh. ---------- Statement made by Farhan bin Salmin, born at Suwahil, aged about 45 years. Recorded at"
born,IOR_R_15_1_212_0028_11r,Sharjah on 20th June 1939. ----- I was born at Suwahil (South East Africa) and kidnapped from
born,IOR_R_15_1_212_0028_11r,"Salmin. ----------------- Statement made by Marzuq bin Sanqur, born at Matrah, aged about 45 years. Recorded at"
born,IOR_R_15_1_212_0028_11r,Sharjah on 20th June 1939. ----- I was born at Matrah (Muscat) and kidnapped when I was
born,IOR_R_15_1_212_0028_11r,"Sanqur. ----------------- Statement made by Khazur bint Abdullah, born at Jask, aged about 40 years. Recorded at"
born,IOR_R_15_1_212_0028_11r,Sharjah on 22nd June 1939. ------ I was born at Jask and kidnapped from my native place
born,IOR_R_15_1_212_0030_12r,"Abdullah. --------------- Statement made by Nafa'ah bint Sorur, born at Umm ul Qaiwain, aged about 19 years."
born,IOR_R_15_1_212_0030_12r,Sharjah on 22nd June 1939. --------------- I was born at Umm ul Qaiwain in the house of
born,IOR_R_15_1_212_0048_21r,Sharjah on 20th July 1939. ------------------- I was born at Dhofar in the house of my master
born,IOR_R_15_1_212_0048_21r,Sharjah on 21st July 1939. ----- I was born at Suwahil (africa) and was kidnapped when I
born,IOR_R_15_1_212_0070_32r,with her mother Fatimah who is a free born person and not a slave of anyone. The
born,IOR_R_15_1_212_0072_33r,the girl is discovered to be a free born person. Abdul Karim informed Reza of what Sa'ad
born,IOR_R_15_1_212_0072_33r,4. Sa'ad bin Ahmad al Sharif has been born in Safaijer of Nejd and is a trader.
born,IOR_R_15_1_212_0111_52v,"Ending. ----------------------- Statement made by Salim bin Bilal, born in Mekran, aged about 34 years. Recorded at"
born,IOR_R_15_1_212_0111_52v,Sharjah on 15th August 1939. ----------------------- I was born in Mekran and kidnapped from my native place
born,IOR_R_15_1_212_0143_68v,Sharjah on 28th September 1939. --- I was born at Abu Dhabi in the house of my
born,IOR_R_15_1_212_0143_68v,on the 29th September 1939. ---- I was born at Qishm in the house of my master
born,IOR_R_15_1_212_0173_83v,Sharjah on the 26th October 1939. I was born and brought up in the house of my
born,IOR_R_15_1_212_0173_83v,Sharjah on the 26th October 1939. I was born and brought up in the house of my
born,IOR_R_15_1_212_0173_83v,Sharjah on the 26th October 1939. I was born and brought up in the house of my
born,IOR_R_15_1_212_0175_84v,on the 28th October 1939. ---- I was born at Mekran and kidnapped from my native place
born,IOR_R_15_1_212_0201_97v,"Usual ending. Statement made by Faraj bin Dadkhuda, born in Maraz, Mekran, aged about 25 years. Recorded"
born,IOR_R_15_1_212_0201_97v,at Sharjah on 12th November 1939. I was born in Maraz in Mekran and kidnapped from my
born,IOR_R_15_1_212_0201_97v,"bin Dadkhuda. Statement made by Hasan bin Ali, born in Boshakard, Mekran, aged about 60 years. Recorded"
born,IOR_R_15_1_212_0201_97v,Sharjah on the 11th November 1939. I was born at Boshakard and kidnapped from my native place
born,IOR_R_15_1_212_0311_152v,"*** 3. Statement made by Alya bint Firoz, born in Sharjah, aged about 17 years. Recorded at"
born,IOR_R_15_1_212_0311_152v,Sharjah on 22nd March 1940. ------------- I was born in Sharjah in the house of my mistress
born,IOR_R_15_1_212_0311_152v,"Firoz. ------------- Statement made by Jumah bin Faraj, born in Qatar, aged about 45 years. Recorded at"
born,IOR_R_15_1_212_0311_152v,Sharjah on 24th March 1940. ------- I was born in Qatar in the house of my master
born,IOR_R_15_5_19_0015_8r,"Exgy] Egypt. According to his statement, he was born in Yemen but had been studying in various"
