document,sentence,max_similarity,classification,most_similar_document,most_similar_sentence
IOR_R_15_2_1293_0107_54r,"His Britannic Majesty's Consulate-General, Basra presents its compliments to the Mutasarrifiyah, Basra Liwa, and has the honour to acknowledge, with thanks receipt of the Mutasarrifiyah's letter No.11824 of 11-20th June, 1950 on the subject of the death of a Bahreini woman named S'adiyah bint Sheber Haj Salih of Yehya Zakariyah Basra.",0.334,singular/unique,IOR_R_15_1_753_0093_47r,"I have received your letter No 68, dated 12th August 1900, re- porting the death of Sheikh Humeid bin Abdulla Chief of Ras- -al-Kheimah ."
IOR_R_15_2_1293_0121_61r,"18739/1/3 of 5/10 October, 1950 on the subject of the death from pneumonia of a Bahraini man named Haj Mahdi in Basra Hospital and notes that the deceased left no property apart from his personal identity documents.",0.342,singular/unique,IOR_R_15_1_212_0173_83v,At the end of the diving season I heard that my master had died and that his heirs intend to sell me.
IOR_R_15_2_1367_0005_3r,5th Shawwal as far as I know the State takes the property of a deceased freed slave only when one dies leaving no heirs or will or master (who freed him) sur- -viving him.,0.868,formula/template,IOR_R_15_2_1367_0013_7r,"1473/9 of 1348 dated 5th Shawaal 48, as far as I know the State takes the property of a deceased free slave only when one dies leaving no [struck: hie-] heirs or will or master (who freed him) surviving him."
IOR_R_15_2_1367_0005_3r,"III — The issue of a freed slave, being practically like free men, inherit to the exclusion of the Master or surviving heirs of deceased Master.",0.979,formula/template,IOR_R_15_2_1367_0013_7r,"The issue of a freed slave, being practically like free men, inherit to the exclusion of the master or surviving heirs of deceased master."
IOR_R_15_2_1367_0005_3r,"IV — [Brinish-manumitted free slave, without heirs & intestate comes under Order-in-Council as a Protected Person & property vests in P.A.",0.347,singular/unique,IOR_R_15_1_208_0029_7r,Maftul died and the slave became a property of his son Khalifah.
IOR_R_15_2_1367_0007_4r,"In connection with the above [inserted: disposal of the] [struck: estate] there arose a question regarding effects of a deceased freed slave Mabrook bin Hasan, when his [struck: former] master, who freed him applied claiming to be an inheritant.",0.447,singular/unique,IOR_R_15_2_1367_0005_3r,5th Shawwal as far as I know the State takes the property of a deceased freed slave only when one dies leaving no heirs or will or master (who freed him) sur- -viving him.
IOR_R_15_2_1367_0007_4r,"Shari decision received, was to this effect - that, as the wife of the deceased was living, 1/4 of the property would go to her and the rest to the master who freed him.",0.418,singular/unique,IOR_R_15_2_1367_0005_3r,5th Shawwal as far as I know the State takes the property of a deceased freed slave only when one dies leaving no heirs or will or master (who freed him) sur- -viving him.
IOR_R_15_2_1367_0013_7r,"1473/9 of 1348 dated 5th Shawaal 48, as far as I know the State takes the property of a deceased free slave only when one dies leaving no [struck: hie-] heirs or will or master (who freed him) surviving him.",0.878,formula/template,IOR_R_15_2_1367_0005_3r,5th Shawwal as far as I know the State takes the property of a deceased freed slave only when one dies leaving no heirs or will or master (who freed him) sur- -viving him.
IOR_R_15_2_1367_0013_7r,"The issue of a freed slave, being practically like free men, inherit to the exclusion of the master or surviving heirs of deceased master.",0.979,formula/template,IOR_R_15_2_1367_0005_3r,"III — The issue of a freed slave, being practically like free men, inherit to the exclusion of the Master or surviving heirs of deceased Master."
IOR_R_15_2_1585_0015_8r,"Understand Father Gabriel with seven others six of whom were also killed travelling between Dhahran and Ras Tanura, Saudi Arabia, in station wagon when it was hit by 10-ton truck and that his death was instantaneous.",0.379,singular/unique,IOR_R_15_1_212_0173_83v,At the end of the diving season I heard that my master had died and that his heirs intend to sell me.
IOR_R_15_2_1585_0021_11r,292 dated the 29th of June in reply to yours of the 28th June asking for fuller details regarding Father Gabriel's death.,0.398,singular/unique,IOR_R_15_2_1733_0027_13r,We have to the credit of the deceased a sum (Rs.14-0-0) being unclaimed wages and we await your instructions regarding the disposal of same.
IOR_R_15_2_1585_0021_11r,"I write now to say what a very great shock it was to us all here, of all communities and creeds to hear of his death.",0.4,singular/unique,IOR_R_15_2_1733_0003_1r,Unclaimed wages amounting to Rs.15-14-0 are lying to his credit and we enclose herewith our cheque for this amount for disposal by your goodself to the heirs.
IOR_R_15_2_1668_0007_4r,Deeply regret to announce death of Shaikh Isa of Bahrain.,0.781,formula/template,IOR_R_15_2_1668_0021_11r,Regret to announce death of Shaikh Isa of Bahrain morning December 9th.
IOR_R_15_2_1668_0021_11r,Regret to announce death of Shaikh Isa of Bahrain morning December 9th.,0.781,formula/template,IOR_R_15_2_1668_0007_4r,Deeply regret to announce death of Shaikh Isa of Bahrain.
IOR_R_15_2_1668_0021_11r,Please convey to Shaikh Hamad sincere condolences of His Excellency the Viceroy.,0.412,singular/unique,IOR_R_15_2_56_0062_24r,Shaikh Abdulla bin Isa called in the afternoon to express his father's condolence (and his own) with Government and with Mr.
IOR_R_15_2_1733_0003_1r,"Dear Sir, We regret to report that the above employee died of Typhoid in the Mission Hospital on August 25, 1944 at 10.00 A.M.",0.536,singular/unique,IOR_R_15_2_1733_0027_13r,"[Handwritten] Bahrain Receipt No._289_ Date _18.1.45_ [Typewritten] Dear Sir, [Typewritten] We regret to report the death of the above-employee this morning in the Mission Hospital, of Dysentery."
IOR_R_15_2_1733_0003_1r,A copy of the Death Certificate is enclosed herewith.,1.0,formula/template,IOR_R_15_2_1733_0039_19r,A copy of the Death Certificate is enclosed herewith.
IOR_R_15_2_1733_0003_1r,Unclaimed wages amounting to Rs.15-14-0 are lying to his credit and we enclose herewith our cheque for this amount for disposal by your goodself to the heirs.,0.387,singular/unique,IOR_R_15_2_56_0060_23r,The flag was hoisted at half mast and the Agency office was closed on the 14th as a mark of respect to the deceased.
IOR_R_15_2_1733_0003_1r,1 Death Certificate.,0.731,singular/unique,IOR_R_15_2_1733_0031_15r,Encl: copy of death certificate.
IOR_R_15_2_1733_0027_13r,"[Handwritten] Bahrain Receipt No._289_ Date _18.1.45_ [Typewritten] Dear Sir, [Typewritten] We regret to report the death of the above-employee this morning in the Mission Hospital, of Dysentery.",0.53,singular/unique,IOR_R_15_2_1733_0003_1r,"Dear Sir, We regret to report that the above employee died of Typhoid in the Mission Hospital on August 25, 1944 at 10.00 A.M."
IOR_R_15_2_1733_0027_13r,A copy of Death Certificate will be sent when received from Doctor.,0.65,singular/unique,IOR_R_15_2_1733_0003_1r,A copy of the Death Certificate is enclosed herewith.
IOR_R_15_2_1733_0027_13r,We have to the credit of the deceased a sum (Rs.14-0-0) being unclaimed wages and we await your instructions regarding the disposal of same.,0.645,singular/unique,IOR_R_15_2_1733_0123_61r,22-12-0 for unclaimed wages and we shall appreciare your instructions regarding the disposal of this amount.
IOR_R_15_2_1733_0029_14r,"PA-52 dated the 11th January 1945, I have to inform you that the sum of Rs.14/- representing the unclaimed wages of the late A.",0.449,singular/unique,IOR_R_15_2_1733_0027_13r,We have to the credit of the deceased a sum (Rs.14-0-0) being unclaimed wages and we await your instructions regarding the disposal of same.
IOR_R_15_2_1733_0031_15r,17876 -A.Rahim Ali Baz- Deceased.,0.97,formula/template,IOR_R_15_2_1733_0035_17r,17876 -A.Rahim Ali Bag- Deceased.
IOR_R_15_2_1733_0031_15r,Further to our letter dated 11th January 1945 and acknowledging receipt of your memo dated 14th January 1945 - we now find that the correct amount due to the deceased is Rs.18/10/0 and not Rs.14/- as intimated.,0.995,formula/template,IOR_R_15_2_1733_0035_17r,Further to our letter dated 11th January 1945 and acknowledging receipt of your memo dated 14th January 1945 we now find that the correct amount due to the deceased is Rs.18/10/0 and not Rs.14/- as intimated.
IOR_R_15_2_1733_0031_15r,Encl: copy of death certificate.,1.0,formula/template,IOR_R_15_2_1733_0035_17r,Encl: copy of death certificate.
IOR_R_15_2_1733_0033_16r,He died in the Hospital at 5.30 A.M.,0.425,singular/unique,IOR_R_15_2_1733_0131_65r,"The Company removed him to the Mission Hospital, Manamah, where he died about half an hour."
IOR_R_15_2_1733_0035_17r,17876 -A.Rahim Ali Bag- Deceased.,0.97,formula/template,IOR_R_15_2_1733_0031_15r,17876 -A.Rahim Ali Baz- Deceased.
IOR_R_15_2_1733_0035_17r,Further to our letter dated 11th January 1945 and acknowledging receipt of your memo dated 14th January 1945 we now find that the correct amount due to the deceased is Rs.18/10/0 and not Rs.14/- as intimated.,0.995,formula/template,IOR_R_15_2_1733_0031_15r,Further to our letter dated 11th January 1945 and acknowledging receipt of your memo dated 14th January 1945 - we now find that the correct amount due to the deceased is Rs.18/10/0 and not Rs.14/- as intimated.
IOR_R_15_2_1733_0035_17r,Encl: copy of death certificate.,1.0,formula/template,IOR_R_15_2_1733_0031_15r,Encl: copy of death certificate.
IOR_R_15_2_1733_0039_19r,18799 ALI BIN AHMED (deceased).,0.594,singular/unique,IOR_R_15_2_1733_0031_15r,17876 -A.Rahim Ali Baz- Deceased.
IOR_R_15_2_1733_0039_19r,"Dear Sir, We regret to report the death of the above-named, a native of Qatar who was in our employ.",0.484,singular/unique,IOR_R_15_2_1668_0007_4r,Deeply regret to announce death of Shaikh Isa of Bahrain.
IOR_R_15_2_1733_0039_19r,A copy of the Death Certificate is enclosed herewith.,1.0,formula/template,IOR_R_15_2_1733_0003_1r,A copy of the Death Certificate is enclosed herewith.
IOR_R_15_2_1733_0039_19r,We await any instructions you may have regarding disposal of the deceased's unclaimed wages amounting to Rs.1-14-0.,0.471,singular/unique,IOR_R_15_2_1733_0027_13r,We have to the credit of the deceased a sum (Rs.14-0-0) being unclaimed wages and we await your instructions regarding the disposal of same.
IOR_R_15_2_1733_0055_27r,"I claim from the oil Company the rights of my son Abdullah bin Nassir al Awadh, who died [struck: in] while working for [the] Company as a result of the fall of the pipes.",0.404,singular/unique,IOR_R_15_1_212_0247_120v,"About three years ago Salim bin Sa'id al Kanni died while his wife was my step-daughter, Kalthoom bin Khalifah."
IOR_R_15_2_1733_0077_38r,_ABBAS BIN HABIB NO.3153_\n_File 084.12_ Dear Sir: We have been informed of a rumour that this\nman died about the time of the recent Muharram Ceremonies.,0.413,singular/unique,IOR_R_15_2_1733_0029_14r,"PA-52 dated the 11th January 1945, I have to inform you that the sum of Rs.14/- representing the unclaimed wages of the late A."
IOR_R_15_2_1733_0077_38r,As there is a question of Death Benefit involved\nwe should like to have your confirmation of this rumour\nand also your instructions.,0.404,singular/unique,IOR_R_15_2_1367_0013_7r,"The issue of a freed slave, being practically like free men, inherit to the exclusion of the master or surviving heirs of deceased master."
IOR_R_15_2_1733_0115_57r,"Dear Sir, _PITCH-POND ACCIDENT._ For purposes of record we give hereunder a summary of the accident at the Refinery Pitch-pond, which resulted in the death of Hassan bin Abdulla of Sitra.",0.355,singular/unique,IOR_R_15_2_1733_0039_19r,"Dear Sir, We regret to report the death of the above-named, a native of Qatar who was in our employ."
IOR_R_15_2_1733_0115_57r,"From information given by Ridhy bin Abdulla and Hamid bin Abdulla, brother and brother-in-law of the deceased, it appears that all three men were proceeding inland from Sitra early on Friday, 21st March 1947.",0.357,singular/unique,IOR_R_15_2_1733_0121_60r,Every effort was made to trace his address through the Omanies residing at Muharraq and Manama but none of them knew the deceased or his brother.
IOR_R_15_2_1733_0115_57r,"Hassan bin Abdulla, deceased, apparently decided to take a further short- cut by crossing the pitch-pond itself and had walked more than half-way across when he went through the surface crust and became trapped in the pitch.",0.336,singular/unique,IOR_R_15_2_1733_0117_58r,It would not have happened if the deceased had not trespassed by entering this restricted area through or over the barbed-wire guard fence.
IOR_R_15_2_1733_0117_58r,"<u>The Adviser to Bahrein Govt.</u> While we regret deeply this most unfortunate incident, we wish to record that it was caused by circumstances beyond the Company's control.",0.376,singular/unique,IOR_R_15_1_212_0175_84v,When I was away at the pearl banks this year my master died and on my return from diving I was told that my master had died and that his heirs intend to sell me.
IOR_R_15_2_1733_0117_58r,It would not have happened if the deceased had not trespassed by entering this restricted area through or over the barbed-wire guard fence.,0.403,singular/unique,IOR_R_15_2_56_0062_24r,Shaikh Abdulla bin Isa called in the afternoon to express his father's condolence (and his own) with Government and with Mr.
IOR_R_15_2_1733_0121_60r,Every effort was made to trace his address through the Omanies residing at Muharraq and Manama but none of them knew the deceased or his brother.,0.379,singular/unique,IOR_R_15_1_212_0143_68v,"After 7 years my master went to Debai and resided at Dairah, where he lived 6 years and then died."
IOR_R_15_2_1733_0123_61r,"<u>NO.19832 AMER BIN SAAD, MUSCATI - DECEASED</u> File 084.5 Dear Sir, We regret to have to inform you of the death of the above-named in the American Mission Hospital on May 27th, as a result of injuries he received when he fell from a lorry.",0.461,singular/unique,IOR_R_15_2_1733_0027_13r,"[Handwritten] Bahrain Receipt No._289_ Date _18.1.45_ [Typewritten] Dear Sir, [Typewritten] We regret to report the death of the above-employee this morning in the Mission Hospital, of Dysentery."
IOR_R_15_2_1733_0123_61r,A copy of the Doctor's Certificate of Death is attached.,0.661,singular/unique,IOR_R_15_2_1733_0003_1r,A copy of the Death Certificate is enclosed herewith.
IOR_R_15_2_1733_0123_61r,"According to our records, deceased was a Muscati and came from Jebel Muscat.",0.398,singular/unique,IOR_R_15_2_1733_0039_19r,We await any instructions you may have regarding disposal of the deceased's unclaimed wages amounting to Rs.1-14-0.
IOR_R_15_2_1733_0123_61r,We hold to credit of deceased's estate the sum of Rs.,0.456,singular/unique,IOR_R_15_2_1733_0027_13r,We have to the credit of the deceased a sum (Rs.14-0-0) being unclaimed wages and we await your instructions regarding the disposal of same.
IOR_R_15_2_1733_0123_61r,22-12-0 for unclaimed wages and we shall appreciare your instructions regarding the disposal of this amount.,0.645,singular/unique,IOR_R_15_2_1733_0027_13r,We have to the credit of the deceased a sum (Rs.14-0-0) being unclaimed wages and we await your instructions regarding the disposal of same.
IOR_R_15_2_1733_0131_65r,"The Company removed him to the Mission Hospital, Manamah, where he died about half an hour.",0.43,singular/unique,IOR_R_15_1_212_0173_83v,He used to take my earnings and 3 months ago my master died when I was away at the pearl banks.
IOR_R_15_2_56_0060_23r,News was received by the Political Agent on the evening of the 13th instant of the sad death of Mr J.G.,0.411,singular/unique,IOR_R_15_2_1585_0021_11r,292 dated the 29th of June in reply to yours of the 28th June asking for fuller details regarding Father Gabriel's death.
IOR_R_15_2_56_0060_23r,The flag was hoisted at half mast and the Agency office was closed on the 14th as a mark of respect to the deceased.,0.423,singular/unique,IOR_R_15_1_208_0029_7r,The latter manumitted him for the sake of God in his lifetime in the presence of some people of Umm-ul-Qaiwain.
IOR_R_15_2_56_0060_23r,"The Hindu, British Indian Muhammadan communities and the prin- cipal men among the Persian and Jewish residents in Bahrein waited on the Political Agent to express their condolence with the Govern- ment at the lost of such a valuable officer and with the relatives of the deceased at their sad breavement.",0.364,singular/unique,IOR_R_15_2_56_0062_24r,Shaikh Abdulla bin Isa called in the afternoon to express his father's condolence (and his own) with Government and with Mr.
IOR_R_15_2_56_0062_24r,Shaikh Abdulla bin Isa called in the afternoon to express his father's condolence (and his own) with Government and with Mr.,0.412,singular/unique,IOR_R_15_2_1668_0021_11r,Please convey to Shaikh Hamad sincere condolences of His Excellency the Viceroy.
IOR_R_15_2_56_0062_24r,"[struck: Shaikh Isa has] [handwritten above: _himself called_] [struck: also expressed his intention of calling later] [struck: in person to offer his condolence.] Shaikh Mejbil, Yusuf Mansur, Yusuf Kanoo and other leading Arabs also called to express their condolence.",0.293,singular/unique,IOR_R_15_2_1733_0077_38r,As there is a question of Death Benefit involved\nwe should like to have your confirmation of this rumour\nand also your instructions.
IOR_R_15_5_19_0063_32r,My telegram 144 fulstop on receipt of the news of Shaikh Jabirs death I sent for Mullah Salih and ascertained that Shaikh Salim wd succeed subject to the approval of the British Govt.,0.362,singular/unique,IOR_R_15_1_753_0061_31r,"The Resident regrets _to receive the_ news of your illness, and asks you to come to Bushire, so that the Residency Surgeon may examine you and - report on _the_ state of your health."
IOR_R_15_5_19_0075_38r,"My dear Sir Percy, I enclose a memo of my interview with Mulla Salih whom I sent for on receipt of news of the death of Shaikh Jabir.",0.39,singular/unique,IOR_R_15_2_1733_0027_13r,A copy of Death Certificate will be sent when received from Doctor.
IOR_R_15_5_19_0075_38r,He volunteered that when notifying Shaikh Jabir's death he will not address Bin Rashid and he will bring me any communi- -cations he should receive from that quarter or any other party with whom the British Government is not on friendly terms.,0.376,singular/unique,IOR_R_15_1_212_0159_76v,"He took him, so that he may not fall into the hands of beduins or others, out of mercy and with the intention of manumitting him."
IOR_R_15_5_19_0119_60r,On 4th his condition reported worse and on 5th he died as reported.,0.448,singular/unique,IOR_R_15_1_208_0031_8r,to the fact that he has manumitted me for the sake of God.
IOR_R_15_5_19_0119_60r,it was expected that on death of Mubarak he might make a bid for succession but owing his absence in desert and to presence of warship he was,0.373,singular/unique,IOR_R_15_1_208_0029_7r,The latter manumitted him for the sake of God in his lifetime in the presence of some people of Umm-ul-Qaiwain.
