IOR REF	Folio	Date	Author/Officer	Subject	Recipient	Doc Type	Language(s)	Description	QDL Link
IOR/R/15/1/753	47r	27 Aug 1900	Cockburn (Offg. Political Resident)	Shaikh Humeid bin Abdullah	Abd al-Latif bin Abd al-Rahman	Death announcement	EN/AR	Acknowledges death of Sheikh Humeid bin Abdullah; notes it does not affect British interests or maritime peace.	https://www.qdl.qa/en/archive/81055/vdc_100023443146.0x00005e
IOR/R/15/1/753	47v	27 Aug 1900	Cockburn (Offg. Political Resident)	Shaikh Humeid bin Abdullah	Abd al-Latif bin Abd al-Rahman	Death announcement	EN/AR	Requests updates on consolidation of power in Ras-el-Khaimah and appointment of Governor.	https://www.qdl.qa/en/archive/81055/vdc_100023443146.0x00005f
IOR/R/15/1/753	240r	6 March 1903	Vere Hunt (Captain, First Assistant)		Abd al-Latif bin Abd al-Rahman	Labor Control	EN/AR	Forwards letter from Koweit Chief about runaway divers; requests assistance to Nakhodas' agents in settling claims.	https://www.qdl.qa/en/archive/81055/vdc_100023443148.0x00005e
IOR/R/15/1/753	241r	6 March 1903	Vere Hunt (Captain, First Assistant)		Abd al-Latif bin Abd al-Rahman	Labor Control	EN/AR	Arabic letter from Mubarak al-Sabah (Koweit) regarding runaway divers and their debts to Nakhodas.	https://www.qdl.qa/en/archive/81055/vdc_100023443148.0x00005e
IOR/R/15/1/753	274r	6 March 1903	Vere Hunt (Captain, First Assistant)		Abd al-Latif bin Abd al-Rahman	Labor Control	EN/AR	Continuation of Koweit diver case; forwards Chief's letter and asks if claims have been settled.	https://www.qdl.qa/en/archive/81055/vdc_100023443148.0x0000a2
IOR/R/15/1/753	275r	6 March 1903	Vere Hunt (Captain, First Assistant)		Abd al-Latif bin Abd al-Rahman	Labor Control	EN/AR	Letter from Sheikh Mubarak regarding recovery of debt from runaway divers.	https://www.qdl.qa/en/archive/81055/vdc_100023443148.0x0000a2
IOR/R/15/1/753	252r	21 Feb 1903	Vere Hunt (Captain, First Assistant)		Abd al-Latif bin Abd al-Rahman	Labor Control	EN/AR	Informs of Ceylon pearl fishery; provides travel routes and notifies that Arab divers are excluded due to past trouble.	https://www.qdl.qa/en/archive/81055/vdc_100023443148.0x000076
IOR/R/15/1/753	252v	21 Feb 1903	Vere Hunt (Captain, First Assistant) [name garbled in OCR]		Abd al-Latif bin Abd al-Rahman	Labor Control	EN/AR	Continuation of pearl fishery exclusion order; instructs to communicate to persons interested in pearl trade.	https://www.qdl.qa/en/archive/81055/vdc_100023443148.0x000077
IOR/R/15/1/753	31r	30 April 1899	F.B. Prideaux (Captain, First Assistant)	Abd al-Latif bin Abd al-Rahman	Abd al-Latif bin Abd al-Rahman	Residency Agent Illness	EN/AR	Regrets Residency Agent's illness and asks him to come to Bushire for examination by Residency Surgeon.	https://www.qdl.qa/en/archive/81055/vdc_100023443146.0x00003e
IOR/R/15/1/753	276r	7 Sep 1903	Vere Hunt (Captain, First Assistant)	Abd al-Latif bin Abd al-Rahman	Abd al-Latif bin Abd al-Rahman	Residency Agent Illness	EN/AR	Acknowledges letter about Agent's illness; grants permission to come to Bushire to consult the Doctor.	https://www.qdl.qa/en/archive/81055/vdc_100023443148.0x0000a6
IOR/R/15/2/1668	4r	9 Dec 1932	Percy Gordon Loch (Political Agency, Bahrain)	Shaikh Isa	Bushire, Muhammarah, Kuwait, Muscat, Baghdad	Death announcement	EN	Telegram deeply regretting death of Shaikh Isa of Bahrain; addressed to multiple consulates.	https://www.qdl.qa/en/archive/81055/vdc_100026681996.0x000008
IOR/R/15/2/1668	11r	10 Dec 1932	J. Croning for Secretary to the Political Resident (Camp, Bahrain)	Shaikh Isa	Government of India, New Delhi	Death announcement	EN	Telegram from Political Resident to Government of India announcing Shaikh Isa's death.	https://www.qdl.qa/en/archive/81055/vdc_100026681996.0x000016
IOR/R/15/2/1668	5r	9 Dec 1932	Percy Gordon Loch (Political Agent, Bahrain)	Shaikh Isa	Shaikh Hamad bin Isa Al Khalifah	Condolence	AR	Arabic letter of condolence from Political Agent to Shaikh Hamad bin Isa on the death of his father.	https://www.qdl.qa/en/archive/81055/vdc_100026681996.0x00000a
IOR/R/15/2/1668	10r	10 Dec 1932	Shaikh Hamad bin Isa Al Khalifah	Shaikh Isa	Percy Gordon Loch (Political Agent, Bahrain)	Reply	EN	Reply from Shaikh Hamad thanking for condolences; highlights father's 63-year rule and friendship with Britain.	https://www.qdl.qa/en/archive/81055/vdc_100026681996.0x000014
IOR/R/15/5/19	60r	16 Feb 1917	Percy Zachariah Cox, Basrah	Shaikh Jabir	Arab Bureau, Cairo / Foreign Dept Delhi / Secretary of State London	Death announcement	EN	Telegram from Cox detailing Shaikh Jabir of Kuwait's illness and death; notes Shaikh Salim's succession.	https://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000078
IOR/R/15/1/208	7r	26 March 1925	Isa bin Abd al-Latif (Residency Agent, Sharjah)	Almas of Suwahil	Secretary to Political Resident / Charles Crosthwaite	Manumission statement	EN	Almas case: Statement to Resident. Slave kidnapped from Zanzibar, manumitted by Khalifah, but heirs threaten re-enslavement. Requests certificate.	https://www.qdl.qa/en/archive/81055/vdc_100023812084.0x00001e
IOR/R/15/1/208	8r	26 March 1925	Isa bin Abd al-Latif (Residency Agent, Sharjah)	Almas of Suwahil	Secretary to Political Resident / Charles Crosthwaite	Manumission statement	EN	Almas's personal testimony confirming manumission; includes Shara court evidence and witnesses; begs British protection.	https://www.qdl.qa/en/archive/81055/vdc_100023812084.0x000020
IOR/R/15/1/208	10r	26 March 1925	Isa bin Abd al-Latif (Residency Agent, Sharjah)	Almas of Suwahil	Secretary to Political Resident / Charles Crosthwaite	Manumission statement	EN	Official approval of Manumission Certificate No. 5 for Almas; assigns him the nickname "An-io-maizi".	https://www.qdl.qa/en/archive/81055/vdc_100023812084.0x000024
IOR/R/15/2/1367	2r	6 March 1930	Charles Dalrymple Belgrave (Adviser to the Government of Bahrain)		H.B.M's Political Agent, Bahrain	Property dispute	EN	Belgrave notes Shara Court rules freed slaves' property reverts to ex-owners; advises State not to enforce this.	https://www.qdl.qa/en/archive/81055/vdc_100024004046.0x000004
IOR/R/15/2/1367	3r	6 March 1930	Charles Dalrymple Belgrave (Adviser to the Government of Bahrain)		H.B.M's Political Agent, Bahrain	Property dispute	EN	Assistant's note clarifying inheritance rules for freed slaves, children, and masters.	https://www.qdl.qa/en/archive/81055/vdc_100024004046.0x000006
IOR/R/15/2/1367	4r	6 March 1930	Charles Dalrymple Belgrave (Adviser to the Government of Bahrain)		H.B.M's Political Agent, Bahrain	Property dispute	EN	Estate case of Mabrook bin Hasan; Shari decision gives 1/4 to wife, rest to master who freed him.	https://www.qdl.qa/en/archive/81055/vdc_100024004046.0x000008
IOR/R/15/2/1367	5r	6 March 1930	Charles Dalrymple Belgrave (Adviser to the Government of Bahrain)		H.B.M's Political Agent, Bahrain	Internal legal minute	EN	Political Agent disagrees with Shara ruling; proposes to reply that slavery is illegal in Bahrain.	https://www.qdl.qa/en/archive/81055/vdc_100024004046.0x000004
IOR/R/15/2/1367	7r	6 March 1930	Political Agent's office, Bahrain (unnamed staff, signed 'K/-')			Internal legal minute	EN	Assistant's note summarizing inheritance laws for freed slaves.	https://www.qdl.qa/en/archive/81055/vdc_100024004046.0x000004
IOR/R/15/2/1293	4r	11 February 1948	His Majesty's Consul at Baghdad	Alwiyah bint Shabib	Political Agent, Bahrain	Death Notification	EN	Forwards notice of death of Bahreini subject Alwiyah bint Shabib in Iraq.	https://www.qdl.qa/en/archive/81055/vdc_100036701974.0x000008
IOR/R/15/2/1293	11r	27 May 1948	Fakhri al Tabaqchali, Mutasarrif Basra Liwa	Mohammed Saleh al Bahraini	H.B.M's Consulate-General, Basra	Death Notification	EN	Death certificate and notification for Mohammed Saleh al Bahraini in Basra; died of meningitis.	https://www.qdl.qa/en/archive/81055/vdc_100036701974.0x000016
IOR/R/15/2/1293	18r	5 July 1949	Mutasarrifiya of Kerbala Liwa	Sadiga bint Haj Muhammad	British Embassy, Consular Section, Baghdad	Death Notification	EN	Forwards death and burial certificate of Sadiqa bint Haj Muhammad in Kerbala.	https://www.qdl.qa/en/archive/81055/vdc_100036701974.0x000024
IOR/R/15/2/1293	21r	31 July 1949	Mutasarrifiya of Kerbala Liwa		British Embassy, Consular Section, Baghdad	Death Notification	EN	Forwards death/burial certificates for Indians/Protectorate subjects who died in Kerbala (June 1949).	http://www.qdl.qa/en/archive/81055/vdc_100036701974.0x00002a
IOR/R/15/2/1293	26r	27 November 1949	Mutasarrifiyah of Kerbala Liwa		British Embassy, Consular Section, Baghdad	Death Notification	EN	Forwards death certificates for October 1949 deaths in Kerbala.	http://www.qdl.qa/en/archive/81055/vdc_100036701974.0x000034
IOR/R/15/2/1293	54r	26 June 1950	British Consulate-General, Basra	S'adiyah bint Sheber	Mutasarrifiyah, Basra Liwa	Death Notification	EN	Acknowledges receipt of death notification for S'adiyah bint Sheber.	http://www.qdl.qa/en/archive/81055/vdc_100036701974.0x00006c
IOR/R/15/2/1293	61r	17 October 1950	British Consulate-General, Basra	Haj Mahdi	Mutasarrifiya, Basra Liwa	Death Notification	EN	Acknowledges death of Haj Mahdi in Basra; notes he left no property.	http://www.qdl.qa/en/archive/81055/vdc_100036701974.0x00007a
IOR/R/15/1/212	32r	10 June 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Maryam bint Mabrook	Hugh Weightman (Political Agent, Bahrain)	Manumission	EN	Maryam bint Mabrook case: Reza Lari sold her for Rs.400; Dubai Ruler arrests and flogs Reza.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000046
IOR/R/15/1/212	33r	10 June 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Maryam bint Mabrook	Hugh Weightman (Political Agent, Bahrain)	Manumission (enclosure continued)	EN	Maryam case continuation: Reza's confession and Abdul Karim's role as broker.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000049
IOR/R/15/1/212	34r	10 June 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Maryam bint Mabrook	Hugh Weightman (Political Agent, Bahrain)	Manumission (enclosure continued)	EN	Maryam case conclusion: girl restored to mother; Reza repatriated; Sa'ad al Sharif fined Rs.470.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000045
IOR/R/15/1/212	35r	10 June 1939	Hugh Weightman (Political Agent, Bahrain)	Maryam bint Mabrook	Secretary (likely to the Political Resident, Bushire)	Internal minute	EN	Summary of Maryam case; notes Sa'ad al Sharif is a Saudi subject; P.R. decides no further action.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00004d
IOR/R/15/1/212	37r	13 August 1939	Political Agent, Bahrain	Ghazul bint Suwahil	Secretary to the Political Resident, Bushire	Manumission (forwarding cover)	EN	Cover letter forwarding statements regarding kidnapping of Ghazul bint Suwahil.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000051
IOR/R/15/1/212	38r	14 July 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Ghazul bint Suwahil	Hugh Weightman (Political Agent, Bahrain)	Manumission	EN	Sharifah bint Bilal's statement describing the kidnapping of her sister Ghazul by the Lutah family.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000051
IOR/R/15/1/212	39r	14 July 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Ghazul bint Suwahil	Hugh Weightman (Political Agent, Bahrain)	Manumission (enclosure continued)	EN	Agent's letter to Ruler of Ajman demanding action and restoration of Ghazul.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000051
IOR/R/15/1/212	40r	17 July 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Ghazul bint Suwahil	Hugh Weightman (Political Agent, Bahrain)	Manumission	EN	Agent's reminder to Ruler of Ajman that six days have elapsed; presses for action.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000051
IOR/R/15/1/212	41r	19 July 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Ghazul bint Suwahil	Hugh Weightman (Political Agent, Bahrain)	Manumission	EN	Ruler of Ajman's vague reply acknowledging letters but claiming he cannot answer yet.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000051
IOR/R/15/1/212	42r	7 August 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Ghazul bint Suwahil	Hugh Weightman (Political Agent, Bahrain)	Manumission	EN	Sharifah states Ghazul is returned but Ruler demands Rs.60 before releasing her to the family.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000051
IOR/R/15/1/212	43r	7 August 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Ghazul bint Suwahil	Hugh Weightman (Political Agent, Bahrain)	Manumission (enclosure continued)	EN	Agent expresses surprise at ransom demand; Ruler explains he paid Rs.75 to purchaser.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00005d
IOR/R/15/1/212	44r	7 August 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Ghazul bint Suwahil	Hugh Weightman (Political Agent, Bahrain)	Manumission (enclosure continued)	EN	Ruler's full account: Ghazul sold for Rs.475, he paid Rs.75 to release her; kidnappers escaped to Bani Qitab.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00005f
IOR/R/15/1/212	45r	18 October 1939	British Residency & Consulate-General, Bushire	Ghazul bint Suwahil	Political Agent, Bahrain	Manumission (approval memorandum)	EN	Memorandum ordering Ghazul to be granted manumission certificate; asks if family was forced to leave Ajman.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000051
IOR/R/15/1/212	back-i	18 October 1939	H.D. Rushton [signed, per earlier link table] — internal case review	Ghazul bint Suwahil		Internal case-review minute	EN	Internal file note on Ghazul; notes the Political Agent has not issued the certificate yet.	https://www.qdl.qa/en/archive/81055/vdc_100106214073.0x00000f
IOR/R/15/1/212	52v	27 August 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Salim bin Bial	Hugh Weightman (Political Agent, Bahrain)	Manumission	EN	Statement by Salim bin Bilal, kidnapped from Mekran, fears sister and children will be sold.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000070
IOR/R/15/1/212	97v	13 Nov 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Faraj bin Dadkhuda	Hugh Weightman (Political Agent, Bahrain)	Manumission	EN	Statements by Faraj bin Dadkhuda, Hasan bin Ali, etc. requesting manumission certificates.	http://www.qdl.qa/en/archive/81055/vdc_100106214072.0x000002
IOR/R/15/1/212	152v	22 March 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Alya bint Firoz	Reginald Alban (Political Agent, Bahrain) [inference, post-Oct 1940]	Manumission	EN	Statement by Jumah bin Faraj, born in Qatar, beaten by master, seeks refuge.	http://www.qdl.qa/en/archive/81055/vdc_100106214072.0x000070
IOR/R/15/1/212	21r	20 July 1939	Residency Agent, Sharjah	Mubarak bin Bukhit		Witness statement	EN	Statements by Mubarak bin Bukhit (Dhofar) and Sallum bin Ali (Suwahil) seeking release from slavery.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000031
IOR/R/15/1/212	83v	26 October 1939	Residency Agent, Sharjah	Sa'id bin Zayed		Witness statement	EN	Statements by Thani, Bilal, and Sa'id (Ras al Khaimah) seeking freedom after master's death.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000ae
IOR/R/15/1/212	83v	26 October 1939	Residency Agent, Sharjah	Almas bin Kamin		Witness statement	EN	Statements by Thani, Bilal, and Sa'id (Ras al Khaimah) seeking freedom after master's death.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000ae
IOR/R/15/1/212	83v	26 October 1939	Residency Agent, Sharjah	Thani bin Sa'ad		Witness statement	EN	Statements by Thani, Bilal, and Sa'id (Ras al Khaimah) seeking freedom after master's death.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000ae
IOR/R/15/1/212	84v	26 October 1939	Residency Agent, Sharjah	Sa'id bin Zayed		Witness statement	EN	Continuation of statements; Almas bin Husain from Mekran seeks freedom.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000ae
IOR/R/15/1/212	84v	26 October 1939	Residency Agent, Sharjah	Almas bin Kamin		Witness statement	EN	Continuation of statements; Almas bin Husain from Mekran seeks freedom.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000ae
IOR/R/15/1/212	11r	20 June 1939	Residency Agent, Sharjah	Mubarak bin Yaruh		Witness statements	EN	Statements by Farhan, Marzuq, and Khazur about kidnap and seeking refuge at Sharjah Agency.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00001d
IOR/R/15/1/212	11r	20 June 1939	Residency Agent, Sharjah	Farhan bin Salmin		Witness statements	EN	Statements by Farhan, Marzuq, and Khazur about kidnap and seeking refuge at Sharjah Agency.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00001d
IOR/R/15/1/212	11r	20 June 1939	Residency Agent, Sharjah	Marzuq bin Sanqur		Witness statements	EN	Statements by Farhan, Marzuq, and Khazur about kidnap and seeking refuge at Sharjah Agency.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00001d
IOR/R/15/1/212	11r	20 June 1939	Residency Agent, Sharjah	Khazur bint Abdullah		Witness statements	EN	Statements by Farhan, Marzuq, and Khazur about kidnap and seeking refuge at Sharjah Agency.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00001d
IOR/R/15/1/212	12r	22 June 1939	Residency Agent, Sharjah	Khazur bint Abdullah		Witness statements	EN	Continuation: Khazur bint Abdullah's full statement and Nafa'ah bint Sorur's statement.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00001d
IOR/R/15/1/212	12r	22 June 1939	Residency Agent, Sharjah	Nafa'ah bint Sorur		Witness statements	EN	Continuation: Khazur bint Abdullah's full statement and Nafa'ah bint Sorur's statement.	http://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00001d
IOR/R/15/1/212	68v	2 October 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Firoz bin Anbar	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Statement by Zahra bint Ghuloom seeking manumission, describing abuse by master and his wife.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000090
IOR/R/15/1/212	68v	2 October 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Zahra bint Ghuloom	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Statement by Zahra bint Ghuloom seeking manumission, describing abuse by master and his wife.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000090
IOR/R/15/1/212	68v	2 October 1939	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Salihah bint Abdur Rahman	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Statement by Zahra bint Ghuloom seeking manumission, describing abuse by master and his wife.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000090
IOR/R/15/1/212	72v	26 April 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Zahra bint Ghuloom	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Zahra bint Ghuloom reports her son Nasir missing; Agent asks Ruler of Sharjah to investigate.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x000098
IOR/R/15/1/212	73v	26 April 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Zahra bint Ghuloom	Hugh Weightman (Political Agent, Bahrain)	Witness statement (continued)	EN	Agent's letter to Ruler of Sharjah requesting investigation into Nasir bin Bilal's disappearance.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00009a
IOR/R/15/1/212	74v	13 May 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Zahra bint Ghuloom	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Zahra's statement that her son was seen in Abu Dhabi; Agent asks Ruler of Abu Dhabi to return him.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00009c
IOR/R/15/1/212	74v	13 May 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Nasir bin Bilal	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Zahra's statement that her son was seen in Abu Dhabi; Agent asks Ruler of Abu Dhabi to return him.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00009c
IOR/R/15/1/212	75v	9 May 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Zahra bint Ghuloom	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Agent's letter to Ruler of Abu Dhabi requesting return of Nasir bin Bilal.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00009e
IOR/R/15/1/212	75v	9 May 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Nasir bin Bilal	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Agent's letter to Ruler of Abu Dhabi requesting return of Nasir bin Bilal.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x00009e
IOR/R/15/1/212	76v	2 Jun 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Zahra bint Ghuloom	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Ruler of Abu Dhabi replies he has sent Nasir back; Nasir's statement about being sold for Rs.250.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000a0
IOR/R/15/1/212	76v	2 Jun 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Nasir bin Bilal	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter)	EN	Ruler of Abu Dhabi replies he has sent Nasir back; Nasir's statement about being sold for Rs.250.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000a0
IOR/R/15/1/212	77v	30 May 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Nasir bin Bilal	Hugh Weightman (Political Agent, Bahrain)	Witness statement	EN	Nasir's full statement describing kidnapping by Salim bin Ali and sale to Baraimi.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000a2
IOR/R/15/1/212	78v		Residency Agent, Sharjah	Salim bin Ali		Witness statement	EN	Salim bin Ali's statement; Agent accuses him of conspiracy and sends him to Ruler of Sharjah.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000a4
IOR/R/15/1/212	79v	~June 1940	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Nasir bin Bilal	Hugh Weightman (Political Agent, Bahrain)	Manumission (covering letter — case closing)	EN	Agent thanks Ruler of Abu Dhabi for returning Nasir bin Bilal.	https://www.qdl.qa/en/archive/81055/vdc_100106214071.0x0000a6
IOR/R/15/1/212	119v	15 July 1941	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Anbar	Reginald Alban (Political Agent, Bahrain)	Manumission (covering letter)	EN	Mutairah bint Mubarak reports her brother Anbar tricked and sold to bedouins; asks for help.	https://www.qdl.qa/en/archive/81055/vdc_100106214072.0x00002e
IOR/R/15/1/212	120v	20 August 1941	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Anbar	Reginald Alban (Political Agent, Bahrain)	Manumission (covering letter)	EN	Ruler of Ras al Khaimah responds; Alia bint Isa admits she sold Anbar for Rs.190.	https://www.qdl.qa/en/archive/81055/vdc_100106214072.0x000030
IOR/R/15/1/212	121v	20 August 1941	Abd al-Razzaq Razuqi (Residency Agent, Sharjah)	Anbar	Reginald Alban (Political Agent, Bahrain)	Manumission (enclosure continued)	EN	Agent asks Ruler of Ras al Khaimah to make arrangements for recovery of Anbar.	https://www.qdl.qa/en/archive/81055/vdc_100106214072.0x000032
IOR/R/15/5/19	8r	5 February 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Jabir	Political Residency, Bushire / Political Officer, Basra	Ruler Death	EN	Kuwait news: Shaikh Jabir ill with fever; refuses European doctors; Ajman tribe movements.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
